'TITLE',"'AUTHOR (first, last)'","'AUTHOR (last, first)'",'DATE','LCC','DDC','ISBN',"'PUBLICATION INFO'",'RATING','REVIEW',"'ENTRY DATE'",'COPIES','SUBJECTS','TAGS'
Glue,"Irvine Welsh","Welsh, Irvine",2001,,,[0099436922],"W. W. Norton &amp; Company (2001), Edition: 1st American Ed, Paperback",0,,"2006-08-21 11:45:19",1,"Bildungsromans > 
Bildungsromans
Edinburgh (Scotland) > Fiction > 
Edinburgh (Scotland) > Fiction
Male friendship > Fiction > 
Male friendship > Fiction"
"The Unbearable Lightness of Being: A Novel (Perennial Classics)","Milan Kundera","Kundera, Milan",1999,,,[0571135390],"Harper Perennial Modern Classics (1999), Edition: Reprint, Paperback",0,,"2006-08-21 11:45:39",1,"Adaptations > 
Adaptations
Drama > 
Drama
Features > 
Features
Man-woman relationships > Czechoslovakia > Fiction > 
Man-woman relationships > Fiction
Mistresses > Fiction
Surgeons > Czechoslovakia > Fiction"
"Naked Lunch: The Restored Text","William S. Burroughs","Burroughs, William S.",2004,,,[0802132952],"Grove Press (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:50:14",1,"Alienation (Social psychology) > Fiction > 
Alienation (Social psychology) > Fiction
Black humor
Drug abuse > Fiction
Drug addicts > Fiction > 
Drug addicts > Fiction
Drug withdrawal symptoms > Fiction > 
Drug withdrawal symptoms > Fiction
Fiction in English > 
Psychological fiction > 
Psychological fiction
Recovering addicts > Fiction > 
Recovering addicts > Fiction
Satire > 
Satire
Science fiction"
"Junky: The Definitive Text of Junk (50th Anniversary Edition)","William S. Burroughs","Burroughs, William S.",2003,,,[0140043519],"Penguin (Non-Classics) (2003), Edition: 50th Annv, Paperback",0,,"2006-08-21 11:50:20",1,"Autobiographical fiction > 
Autobiographical fiction
Drug abuse > United States > Fiction > 
Drug addicts > Fiction > 
Drug addicts > Fiction
Heroin abuse > Fiction > 
Heroin abuse > Fiction
Heroin habit > United States > Fiction > 
Narcotic addicts > Fiction > 
Psychological fiction > 
Psychological fiction"
"On the Road (Penguin Classics)","Jack Kerouac","Kerouac, Jack",2002,,,[0140185216],"Penguin Classics (2002), Edition: New Ed, Paperback",0,,"2006-08-21 11:50:32",1,"Autobiographical fiction > 
Autobiographical fiction
Autobiographical fiction, American > History and criticism > 
Autobiographical fiction, American > History and criticism
Beat generation > Fiction > 
Beat generation > Fiction
Beat generation in literature > 
Beat generation in literature
Kerouac, Jack, 1922-1969. On the road"
"The Dharma Bums","Jack Kerouac","Kerouac, Jack",1971,,,[0586091580],"Penguin (Non-Classics) (1971), Edition: Reissue, Paperback",0,,"2006-08-21 11:50:42",1,"Beat generation > Fiction > 
Beat generation > Fiction"
"The Electric Kool-Aid Acid Test","Tom Wolfe","Wolfe, Tom",1999,,,[0552993662],"Bantam (1999), Edition: Reprint, Paperback",0,,"2006-08-21 11:51:02",1,"Drug addiction > United States > 
Drug addiction > United States
Hippies > United States > 
Hippies > United States
Lysergic acid > 
Narcotic habit > United States"
Catch-22,"Joseph Heller","Heller, Joseph",1994,,,[0099477319],"Vintage (1994), Edition: New Ed, Paperback",0,,"2006-08-21 11:51:28",1,"Adaptations
Anti-war films and video
Armed Forces comedies
Black Humor (Literature)
Bombardiers > United States > Fiction > 
English fiction > 
Features
Heller, Joseph. Catch-22 > 
Historical fiction > 
Historical fiction
Satire > 
United States > 
United States. Army Air Forces > Fiction > 
Videodiscs
War stories > 
War stories
War stories, American > History and criticism > 
World War, 1939-1945 > Fiction > 
World War, 1939-1945 > Fiction
World War, 1939-1945 > Italy > Fiction > 
World War, 1939-1945 > United States > Literature and the war"
"Trout Fishing in America","Richard Brautigan","Brautigan, Richard",1997,,,[0099747715],"Vintage (1997), Edition: New Ed, Paperback",0,,"2006-08-21 11:52:00",1,
"Go Now","Richard Hell","Hell, Richard",1997,,,[0684822342],"Simon &amp; Schuster (1997), Edition: Reprint, Paperback",0,,"2006-08-21 11:52:28",1,"Automobile travel > Fiction"
"Confusion Is Next: The Sonic Youth Story","Alec Foege","Foege, Alec",1994,,,[0312113692],"St. Martin's Griffin (1994), Paperback",0,,"2006-08-21 11:52:57",1,"Rock musicians > United States > Biography > 
Sonic Youth (Musical group)"
"Get in the Van: On the Road With Black Flag (2nd Edition)","Henry Rollins","Rollins, Henry",2004,,,[1880985764],"2.13.61 (2004), Edition: 2nd, Paperback",0,,"2006-08-21 11:53:19",1,"Black Flag (Musical group) > 
Rock musicians > 
Rock musicians
Rollins, Henry, 1961- > Diaries"
"The New Penguin History of the World: Fourth Edition","J. M. Roberts","Roberts, J. M.",2004,,,[0141007230],"Penguin (Non-Classics) (2004), Edition: Reprint, Paperback",0,,"2006-08-21 11:55:34",1,"Civilization > History > Juvenile literature
Civilization > History
World history > 
World history > Juvenile literature
World history"
"The Informers","Bret Easton Ellis","Ellis, Bret Easton",1995,,,[0330339184],"Picador (1995), Paperback",0,,"2006-08-21 12:00:27",1,"Los Angeles (Calif.) > Fiction > 
Los Angeles (Calif.) > Fiction
Satire > 
Satire"
Idoru,"William Gibson","Gibson, William",1997,,,[0670857793],"Berkley (1997), Paperback",0,,"2006-08-21 12:00:52",1,"Americans > Japan > Fiction > 
Americans > Japan > Fiction
Friendship > Fiction > 
Friendship > Fiction
Psychological fiction > 
Psychological fiction
Rock musicians > Fiction > 
Rock musicians > Fiction
Rock musicians > Psychology > Fiction > 
Rock musicians > Psychology > Fiction
Science fiction > 
Science fiction
Teenage girls > Fiction > 
Teenage girls > Fiction
Thrillers. gsafd > 
Tokyo (Japan) > Fiction > 
Tokyo (Japan) > Fiction
Virtual reality > Fiction > 
Virtual reality > Fiction"
"Classic Crews : A Harry Crews Reader","Harry Crews","Crews, Harry",1993,,,[0671865277],"Touchstone (1993), Paperback",4,,"2006-08-21 12:03:09",1,
"The Gospel Singer: A Novel","Harry Crews","Crews, Harry",1988,,,[0060971517],"Harpercollins (1988), Edition: Reprint, Paperback",0,,"2006-08-21 12:03:18",1,
"The Outsider","Albert Camus","Albert Camus",2001,"PQ2605.A3734E8335 2001",,[0791059286],"Philadelphia: Chelsea House Publishers, c2001.",0,,"2006-08-21 12:05:17",1,"Adventure stories > 
Adventure stories
Algeria > Fiction > 
Algeria > Fiction
Camus, Albert, 1913-1960. Etranger > 
French > Algeria > Fiction > 
French fiction > 
Murder > Fiction > 
Murder > Fiction"
"The Catcher in the Rye","J.D. Salinger","Salinger, J.D.",1991,,,[3125738067],"Little, Brown (1991), Paperback",3,,"2006-08-21 12:05:30",1,"Bildungsromane > 
Bildungsromane
Bildungsromans > 
Bildungsromans
Caulfield, Holden (Fictitious character) > 
Caulfield, Holden (Fictitious character) > Fiction > 
Caulfield, Holden (Fictitious character) > Fiction
Fiction in English > 
Large type books > 
Large type books
New York (N.Y.) > Fiction > 
New York (N.Y.) > Fiction
Novela estadounidense > Siglo XX > 
Runaway teenagers > Fiction > 
Runaway teenagers > Fiction
Runaway teenagers in literature > 
Salinger, J. D. (Jerome David), 1919- > Criticism and interpretation > 
Salinger, J. D. (Jerome David), 1919- Catcher in the rye > 
Teenage boys > Fiction > 
Teenage boys > Fiction
Teenage boys in literature"
"A Heartbreaking Work of Staggering Genius (Vintage)","Dave Eggers","Eggers, Dave",2001,,,[0375725784],"Vintage (2001), Paperback",0,,"2006-08-21 12:05:44",1,"âEcrivains amâericains > 20e siáecle > Biographies > 
Authors, American > 20th century > Biography > 
Autobiographical fiction > 
Bildungsromane
Brothers > Biography > 
Brothers > Biography
Brothers > United States > Biography
Domestic fiction
Eggers, Dave > 
Eggers, Dave > Famille > 
Eggers, Dave > Family > 
Eggers, Dave. > Fiction > 
Family > United States > 
Family > United States > Fiction > 
Family > United States
Parents > Death > Psychological aspects > 
Parents > Psychological aspects
Terminally ill parents > United States > 
Terminally ill parents > United States > Fiction > 
Terminally ill parents > United States
Young men > United States > Biography > 
Young men > United States > Biography
Young men > United States > Fiction"
"A Crack Up at the Race Riots","Harmony Korine","Korine, Harmony",1998,,,[0385485883],"Main Street Books (1998), Edition: 1st ed, Paperback",0,,"2006-08-21 12:12:26",1,
Kids,"Larry Clark","Clark, Larry",1995,,,[0802134386],"Grove Press (1995), Paperback",0,,"2006-08-21 12:12:32",1,
"Ask Dr. Mueller: The Writings of Cookie Mueller (High Risk Books)","Cookie Mueller","Mueller, Cookie",1996,,,[1852423315],"Serpent's Tail (1996), Paperback",3,,"2006-08-21 12:12:51",1,
"Dear Dead Person and Other Stories (High Risk Books)","Benjamin Weissman","Weissman, Benjamin",1994,,,[1852423307],"Serpent's Tail (1994), Paperback",0,,"2006-08-21 12:13:13",1,
"The Roaches Have No King (A Five Star Title)","Daniel Evan Weiss","Weiss, Daniel Evan",2001,,,[1852423269],"Serpent's Tail (2001), Edition: New Ed, Paperback",0,,"2006-08-21 12:14:08",1,"Apartment houses > Fiction > 
Apartment houses > Fiction
Cockroaches > Fiction > 
Cockroaches > Fiction
Fantastic fiction > 
Fantastic fiction
Man-woman relationships > Fiction > 
Man-woman relationships > Fiction"
"From the Velvets to the Voidoids: A Pre-Punk History for a Post-Punk World","Clinton Heylin","Heylin, Clinton",1993,,,[0140179704],"Penguin Books (1993), Edition: New Ed, Paperback",0,,"2006-08-21 12:16:19",1,"New wave music > United States > History and criticism > 
New wave music > United States > History and criticism
Punk rock music > United States > History and criticism > 
Punk rock music > United States > History and criticism"
"The Medium is The Message","Marshal McLuhan and Quentin Fiore","Fiore, Marshal McLuhan and Quentin",1967,,,[188886902X],"Bantam (1967), Edition: 1st, Paperback",0,,"2006-08-21 12:17:06",1,"Communication > 
Communication > History > 
Communication > History
Communication
Communications > 
Electronics > 
Mass media > History > 
Mass media > History
Technologie et civilisation > 
Technology > 
Technology and civilization > 
Technology and civilization
Tecnologï¿½ia y civilizaciï¿½on"
"Ways of Seeing: Based on the BBC Television Series","John Berger","Berger, John",1990,,,[0140135154],"Penguin (Non-Classics) (1990), Edition: Reprint, Paperback",0,,"2006-08-21 12:17:16",1,"Art > Technique > 
Art > Technique
Art appreciation > 
Consciousness > 
Painting > Europe > 
Painting > Europe
Painting, European > 
Visual perception > 
Visual perception"
"Maeda @ Media","John Maeda","Maeda, John",2001,,,[0789305259],"Universe (2001), Paperback",0,,"2006-08-21 12:17:59",1,"Art and technology > 
Computer art > 
Digital art > 
Maeda, John"
"Cocoa(R) Programming for Mac(R) OS X (2nd Edition)","Aaron Hillegass","Hillegass, Aaron",2004,,,[0201726831],"Addison-Wesley Professional (2004), Edition: 2, Paperback",4,,"2006-08-21 12:19:19",1,"Cocoa (Application development environment) > 
Mac OS > 
Macintosh (Computer) > Programming > 
Operating systems (Computers)"
"Learning Cocoa with Objective-C, 2nd Edition","James Duncan Davidson","Davidson, James Duncan",2002,,,[0596003013],"O'Reilly Media (2002), Edition: 2, Paperback",0,,"2006-08-21 12:19:44",1,
"Objective-C Pocket Reference","Andrew Duncan","Duncan, Andrew",2002,,,[0596004230],"O'Reilly Media (2002), Edition: 1, Paperback",0,,"2006-08-21 12:19:50",1,"Speeches, addresses, etc., American > 
United States > Politics and government"
"Building Cocoa Applications : A Step by Step Guide","Simson Garfinkel","Garfinkel, Simson",2002,,,[0596002351],"O'Reilly Media (2002), Edition: 1, Paperback",2,,"2006-08-21 12:19:57",1,"Cocoa (Application development environment)
Object-oriented programming (Computer science)"
"Learning Perl, Fourth Edition","Randal L. Schwartz","Schwartz, Randal L.",2005,,,[0596101058],"O'Reilly Media (2005), Edition: 4, Paperback",0,,"2006-08-21 12:20:10",1,"Perl (Computer program language) > 
Perl (Computer program language)"
"Perl Cookbook, Second Edition","Tom Christiansen","Christiansen, Tom",2003,,,[0596003137],"O'Reilly Media (2003), Edition: 2, Paperback",0,,"2006-08-21 12:20:18",1,"Perl (Computer program language) > 
Perl (Computer program language) > Handbooks, manuals, etc > 
Perl (Computer program language)"
"Dynamic HTML: The Definitive Reference (2nd Edition)","Danny Goodman","Goodman, Danny",2002,,,[0596003161],"O'Reilly Media (2002), Edition: 2, Paperback",0,,"2006-08-21 12:20:36",1,"DHTML (Document markup language) > 
DHTML (Document markup language)
HTML (Document markup language)"
"MySQL (OTHER NEW RIDERS)","Paul DuBois","DuBois, Paul",1999,,,[0735709211],"New Riders Publishing (1999), Edition: 1st, Paperback",0,,"2006-08-21 12:21:00",1,"SQL (Computer program language) > 
SQL (Computer program language)"
"The Complete Stories","Franz Kafka","Kafka, Franz",1995,,,[0749399465],"Schocken (1995), Paperback",0,,"2006-08-21 12:22:42",1,"Kafka, Franz, 1883-1924 > Translations into English > 
Manners and customs > Fiction"
"Post Office","Charles Bukowski","Bukowski, Charles",1980,,,[0863697607],"Ecco Press (1980), Paperback",0,,"2006-08-21 12:22:55",1,
Women,"Charles Bukowski","Bukowski, Charles",1978,,,[0863697313],"HarperCollins (1978), Paperback",0,,"2006-08-21 12:22:58",1,"Psychological fiction > 
Psychological fiction"
"Ham on Rye","Charles Bukowski","Bukowski, Charles",1982,,,[1841951633],"Ecco (1982), Paperback",0,,"2006-08-21 12:23:03",1,"Alcoholics > Fiction > 
Alcoholics > Fiction
Authors > Fiction > 
Authors > Fiction
Autobiographical fiction > 
Autobiographical fiction
Fathers and sons > Fiction > 
Fathers and sons > Fiction
Los Angeles (Calif.) > Fiction > 
Los Angeles (Calif.) > Fiction
Teenage boys > Fiction > 
Teenage boys > Fiction"
"Ask the Dust (P.S.)","John Fante","Fante, John",2006,,,[0876854439],"Harper Perennial Modern Classics (2006), Edition: Reprint, Paperback",3,,"2006-08-21 12:23:44",1,"Authors > Fiction > 
Authors > Fiction
Bandini, Arturo (Fictitious character) > Fiction > 
Bandini, Arturo (Fictitious character) > Fiction
Bildungsromane > 
Bildungsromane
California > Fiction > 
California > Fiction
Love stories
Man-woman relationships > Fiction > 
Man-woman relationships > Fiction
Young men > Fiction > 
Young men > Fiction"
"Ghost World","Daniel Clowes","Clowes, Daniel",2001,,,[1560974273],"Fantagraphics Books (2001), Edition: 4th, Paperback",0,,"2006-08-21 12:25:16",1,"Comedy > Feature > 
Comic books, strips, etc. > United States > 
Teenage girls > Comic books, strips, etc > 
Teenage girls > United States > Comic books, strips, etc"
"Like a Velvet Glove Cast in Iron","Daniel Clowes","Clowes, Daniel",1998,,,[1560971169],"Fantagraphics Books (1998), Paperback",0,,"2006-08-21 12:25:22",1,"Graphic novels > 
Subculture > United States > Comic books, strips, etc"
"Orgy Bound","Daniel Clowes","Clowes, Daniel",1996,,,[1560973021],"Fantagraphics Books (1996), Edition: 1, Paperback",0,,"2006-08-21 12:25:34",1,
"Jean Michel Basquiat","Richard Marshall","Marshall, Richard",1994,,,[0810968142],"Whitney Museum (1994), Paperback",0,,"2006-08-21 12:25:55",1,"Basquiat, Jean Michel > Criticism and interpretation > 
Basquiat, Jean Michel > Exhibitions"
"Raymond Pettibon (Contemporary Artists)","Robert Storr","Storr, Robert",2001,,,[0714839191],"Phaidon Press (2001), Paperback",0,,"2006-08-21 12:26:22",1,
"Dangerous Drawings: Interviews With Comix &amp; Graphix Artists",,,1997,,,[0965104281],"powerHouse Books (1997), Paperback",0,,"2006-08-21 12:26:32",1,"Cartoonists > United States > Interviews > 
Comic books, strips, etc. > United States > History and criticism"
"Rollerderby: (The Book) (Popcult Series ; No. 1)","Lisa Carver","Carver, Lisa",1996,,,[0922915385],"Feral House (1996), Paperback",0,,"2006-08-21 12:26:41",1,
"Code: The Hidden Language of Computer Hardware and Software","Charles Petzold","Petzold, Charles",2000,,,[0735611319],"Microsoft Press (2000), Edition: 1, Paperback",5,,"2006-08-21 13:35:38",1,"Coding theory > 
Coding theory
Computer programming > 
Computer programming"
"A Theory of Fun for Game Design","Raph Koster","Koster, Raph",2004,,,[1932111972],"Paraglyph Press (2004), Edition: 1, Paperback",0,,"2006-08-21 13:35:46",1,"Computer games > Design > 
Computer games > Social aspects"
"Where I'm Calling From: Selected Stories (Vintage Contemporaries)","Raymond Carver","Carver, Raymond",1989,,,[1860460399],"Vintage (1989), Edition: Reprint, Paperback",0,,"2006-08-21 13:36:05",1,"Conto Norte Americano
Short stories > 
Short stories"
"Call If You Need Me: The Uncollected Fiction and Other Prose (Vintage Contemporaries)","Raymond Carver","Carver, Raymond",2001,,,[0375726284],"Vintage (2001), Edition: Rev&amp;Expand, Paperback",3,,"2006-08-21 13:36:12",1,
"Practical C Programming, 3rd Edition","Steve Oualline","Oualline, Steve",1997,,,[1565923065],"O'Reilly Media (1997), Edition: 3, Paperback",0,,"2006-08-21 13:36:25",1,"C (Computer program language) > 
C (Computer program language)"
"Web Services Essentials (O'Reilly XML)","Ethan Cerami","Cerami, Ethan",2002,,,[0596002246],"O'Reilly Media (2002), Edition: 1, Paperback",0,,"2006-08-21 13:36:40",1,"Java (Computer program language) > 
Web services > 
XML (Document markup language)"
"Learning XML, Second Edition","Erik T Ray","Ray, Erik T",2003,,,[0596004206],"O'Reilly Media (2003), Edition: 2, Paperback",0,,"2006-08-21 13:36:49",1,"XML (Document markup language) > 
XML (Document markup language)"
"PHP Pocket Reference, 2nd Edition","Rasmus Lerdorf","Lerdorf, Rasmus",2002,,,[0596004028],"O'Reilly Media (2002), Edition: 2, Paperback",0,,"2006-08-21 13:37:09",1,"PHP (Computer program language) > 
PHP (Computer program language)"
"Perl Pocket Reference, 4th Edition","Johan Vromans","Vromans, Johan",2002,,,[0596003749],"O'Reilly Media (2002), Edition: 4, Paperback",0,,"2006-08-21 13:37:20",1,"Perl (Computer program language) > 
Perl (Computer program language)"
"CGI Programming with Perl","Gunther Birznieks","Birznieks, Gunther",2000,,,[1565924193],"O'Reilly Media (2000), Edition: 2, Paperback",0,,"2006-08-21 13:38:12",1,"CGI (Computer network protocol) > 
Internet programming > 
Perl (Computer program language)"
"JavaScript: The Definitive Guide","David Flanagan","Flanagan, David",2006,,,[0596101996],"O'Reilly Media (2006), Edition: 5, Paperback",0,,"2006-08-21 13:38:39",1,"ALGORITHMS > 
COMPUTER PROGRAMMING > 
COMPUTER PROGRAMS > 
FILE MAINTENANCE (COMPUTERS) > 
JavaScript (Computer program language) > 
JavaScript (Computer program language)
OBJECT-ORIENTED PROGRAMMING > 
Object-oriented programming (Computer science) > 
Object-oriented programming (Computer science)
PROGRAMMING LANGUAGES > 
Programming Languages > handbooks > 
SOFTWARE TOOLS > 
Web servers > 
Web servers"
"Perfume: The Story of a Murderer (Vintage International)","Patrick Suskind","Suskind, Patrick",2001,,,[014009993X],"Vintage (2001), Edition: Vintage, Paperback",0,,"2006-08-21 13:38:55",1,"Fiction in German 1945 English texts > 
Foundlings > Fiction > 
Large type books > 
Murderers > France > Paris > Fiction > 
Smell > Fiction"
"ZINES! Volume One: Incendiary Interviews with Independent Publishers (Zines!)","V. Vale","Vale, V.",1999,,,[0965046907],"Re/Search Publications (1999), Edition: 1st, Paperback",0,,"2006-08-21 14:07:50",1,
"32 Stories: The Complete Optic Nerve Mini-Comics","Adrian Tomine","Tomine, Adrian",1998,,,[1896597009],"Drawn and Quarterly,U.S. (1998), Paperback",3,,"2006-08-21 14:08:40",1,"Comic books, strips, etc
Graphic novels"
"Sleepwalk : and Other Stories","Adrian Tomine","Tomine, Adrian",1998,,,[1896597122],"Drawn and Quarterly (1998), Edition: 1 Pbk ed, Paperback",0,,"2006-08-21 14:08:58",1,"City and town life > Comic books, strips, etc > 
City and town life > Fiction > 
Comic books > 
Graphic novels > Specimens"
"Going to the Getty: A Book about the Getty Center in Los Angeles (Getty Trust Publications: J. Paul Getty Museum)","J.otto Seibold","Seibold, J.otto",1997,,,[0892364939],"Getty Trust Publications: J. Paul Getty Museum (1997), Hardcover",0,,"2006-08-21 14:25:21",1,"Art centers > 
Art centers > California > Los Angeles > Juvenile literature > 
Getty Center (Los Angeles, Calif.) > 
Getty Center (Los Angeles, Calif.) > Juvenile literature > 
Los Angeles (Calif.) > Buildings, structures, etc. > Juvenile literature > 
Office buildings"
Jarhead,"Anthony Swofford","Swofford, Anthony",2003,,,[0743275373],"Scribner (2003), Edition: 1st., Paperback",0,,"2006-08-23 06:09:33",1,"Persian Gulf War, 1991 > Personal narratives, American > 
Persian Gulf War, 1991 > Personal narratives, American
Swofford, Anthony > 
United States. Marine Corps > 
United States. Marine Corps. Marines, 7th. Battalion, 2nd. Surveillance and Target Acquisition Platoon"
"Flatterland: Like Flatland, Only More So","Ian Stewart","Stewart, Ian",2002,,,[0333783123],"Perseus Books Group (2002), Edition: Reprint, Paperback",0,,"2006-08-23 06:27:30",1,"Fantasy fiction > 
Mathematics > Fiction > 
Mathematics > Fiction
Science fiction > 
Science fiction
Universe > Fiction > 
Universe > Fiction"
"No One Here Gets Out Alive","Danny Sugerman","Sugerman, Danny",1995,,,[0446602280],"Warner Books (1995), Edition: Updated, Mass Market Paperback",0,,"2006-08-23 07:17:53",1,"Morrison, Jim, 1943-1971 > 
Rock musicians > United States > Biography > 
Rock musicians > United States > Biography"
"Wonderland Avenue: Tales of Glamour and Excess","Danny Sugerman","Sugerman, Danny",1991,,,[0349101752],"Little Brown U.K. (1991), Edition: New Ed, Paperback",0,,"2006-08-23 07:18:08",1,
"The Master and Margarita (Vintage International)","Mikhail Bulgakov","Bulgakov, Mikhail",1996,,,[1860461549],"Vintage (1996), Edition: Reprint, Paperback",0,,"2006-08-23 07:21:50",1,"Allegories > 
Allegories
Bulgakov > 
Good and evil > Fiction > 
Humanities > 
Jerusalem > Fiction > 
Jesus Christ > Fiction > 
Literature > 
Mental illness > Fiction > 
Moscow (Russia) > Fiction > 
Novel > 
Pilate, Pontius, 1st cent. > Fiction > 
Political fiction > 
Political fiction
Russia > Fiction > 
Russia > Fiction
Russian fiction > 
Russian publications (Form Entry) > 
Soviet Union > History > 1925-1953 > Fiction"
"Life: A User's Manual","Georges Perec","Perec, Georges",2000,,,[1860461468],"David R. Godine Publisher (2000), Edition: Reprint, Paperback",0,,"2006-08-23 07:23:16",1,"Apartment houses > Fiction > 
Apartment houses > Fiction
City and town life > Fiction > 
City and town life > Fiction
English fiction > 20th century > Translated from French > 
French fiction > 20th century > Translations into English > 
Paris (France) > Fiction > 
Paris (France) > Fiction"
"Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream","Hunter S. Thompson","Thompson, Hunter S.",1998,,,[0586081321],"Vintage (1998), Edition: 2nd, Paperback",0,,"2006-08-23 07:25:10",1,"Adaptation > Feature > 
Adaptation
Comedy > Feature > 
Comedy
Journalists > United States > Biography > 
Journalists > United States > Biography
Thompson, Hunter S"
"The Acme Novelty Datebook","Chris Ware","Ware, Chris",2003,,,[1896597661],"Drawn and Quarterly (2003), Hardcover",3.5,,"2006-08-23 07:27:02",1,"Ware, Chris, 1967-"
"The Penguin History of the Twentieth Century: The History of the World, 1901 to the Present (Allen Lane History S.)","J. M. Roberts","Roberts, J. M.",2004,,,[0140276319],"Penguin (Non-Classics) (2004), Edition: Reprint, Paperback",0,,"2006-08-23 08:18:37",1,"History, Modern > 20th century"
"Comics and Sequential Art","Will Eisner","Eisner, Will",1985,,,[0961472804],"Poorhouse Pr (1985), Hardcover",0,,"2006-08-23 08:28:08",1,"Comic books, strips, etc. > Technique > 
Comic books, strips, etc. > Technique
Drawing > Technique > 
Drawing > Technique"
"Understanding Comics: The Invisible Art","Scott McCloud","McCloud, Scott",1994,,,[006097625X],"Harper Paperbacks (1994), Edition: Reprint, Paperback",0,,"2006-08-23 08:28:49",1,"Cartooning > Technique > 
Cartooning > Technique
Cartoons and comics > History and criticism > 
Cartoons and comics > History and criticism
Comic books, strips, etc. > Authorship > Comic books, strips, etc > 
Comic books, strips, etc. > Comic books, strips, etc
Comic books, strips, etc. > History and criticism > 
Comic books, strips, etc. > History and criticism
Comic books, strips, etc. > Illustrations > 
Comic books, strips, etc. > Illustrations
Comic books, strips, etc. > Juvenile literature > 
Comic books, strips, etc. > Juvenile literature
Graphic novels
Periodicals > Publishing > Juvenile literature > 
Periodicals > Publishing > Juvenile literature"
"Maus : A Survivor's Tale : My Father Bleeds History/Here My Troubles Began/Boxed","Art Spiegelman","Spiegelman, Art",1993,,,[0679748407],"Pantheon (1993), Edition: Boxed, Paperback",0,,"2006-08-23 08:29:03",1,"Children of Holocaust survivors > United States > Comic books, strips, etc
Holocaust survivors > United States > Comic books, strips, etc
Holocaust, Jewish (1939-1945) > Comic books, strips, etc. > Fiction > 
Holocaust, Jewish (1939-1945) > Poland > Comic books, strips, etc
World War, 1939-1945 > Personal narratives, Jewish > Comic books, strips, etc. > Fiction"
"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus)","Art Spiegelman","Spiegelman, Art",1992,,,[0679729771],"Pantheon (1992), Edition: Graphic No, Paperback",0,,"2006-08-23 08:29:10",1,"Children of Holocaust survivors > United States > Biography > Comic books, strips, etc > 
Children of Holocaust survivors > United States > Comic books, strips, etc
Holocaust survivors > United States > Biography > Comic books, strips, etc > 
Holocaust survivors > United States > Comic books, strips, etc
Holocaust, Jewish (1939-1945) > Poland > Biography > Comic books, strips, etc > 
Holocaust, Jewish (1939-1945) > Poland > Comic books, strips, etc
Spiegelman, Art > Comic books, strips, etc > 
Spiegelman, Vladek > Comic books, strips, etc"
"Signal to Noise","Neil Gaiman","Gaiman, Neil",1993,,,[1569711445],"Dark Horse Comics (1993), Paperback",0,,"2006-08-23 08:29:54",1,
"Violent Cases","Neil Gaiman","Gaiman, Neil",2002,,,[1569717990],"Dark Horse (2002), Paperback",0,,"2006-08-23 08:30:05",1,"Comic books, strips, etc > 
Comic books, strips, etc
Organized crime > Comic books, strips, etc"
"Mr Punch","Neil Gaiman","Gaiman, Neil",1994,,,[0575051418],"Orion Publishing Co (1994), Hardcover",0,,"2006-08-23 08:30:34",1,"Family > Comic books, strips, etc > 
Graphic novels > 
Punch and Judy > Comic books, strips, etc"
"Slow Chocolate Autopsy","Ian Sinclair","Sinclair, Ian",1998,,,[0753801523],"Orion Pub Co (1998), Paperback",0,,"2006-08-23 08:30:51",1,"City and town life > Fiction > 
Fantasy fiction, English > 
Historical fiction, English > 
London (England) > Fiction > 
Time travel > Fiction"
Watchmen,"Alan Moore","Moore, Alan",1995,,,[0930289234],"DC Comics (1995), Edition: Graphic No, Paperback",0,,"2006-08-23 08:32:48",1,"Comic books, strips, etc > 
Comic books, strips, etc
Graphic novels > 
Watchmen (Comic strip)"
"Quit Your Job","James Kochalka","Kochalka, James",1998,,,[1891867008],"Alternative Comics (1998), Paperback",0,,"2006-08-23 08:33:12",1,
"Pinky &amp; Stinky","James Kochalka","Kochalka, James",2002,,,[1891830295],"Top Shelf Productions (2002), Paperback",0,,"2006-08-23 08:33:27",1,"Graphic novels"
"Fancy Froglin Volume 1: Sexy Forest","James Kochalka","Kochalka, James",2003,,,[1891867474],"Alternative Comics (2003), Paperback",0,,"2006-08-23 08:33:37",1,
"Perfect Planet &amp; Other Stories","James Kochalka","Kochalka, James",1999,,,[1891830082],"Top Shelf Productions (1999), Paperback",0,,"2006-08-23 08:33:47",1,
"The Cute Manifesto","James Kochalka","Kochalka, James",2005,,,[1891867733],"Alternative Comics (2005), Paperback",0,,"2006-08-23 08:33:52",1,
"Monkey vs. Robot",,,2000,,,[1891830155],"Top Shelf Productions (2000), Paperback",0,,"2006-08-23 08:34:08",1,
"James Kochalka's Magic Boy &amp; Girlfriend","James Kochalka","Kochalka, James",1998,,,[1891830031],"Top Shelf Productions (1998), Paperback",0,,"2006-08-23 08:34:15",1,
"Fantastic Butterflies","James Kochalka","Kochalka, James",2002,,,[1891867180],"Alternative Comics (2002), Edition: Comic, Paperback",0,,"2006-08-23 08:34:25",1,
"Tiny Bubbles","James Kochalka","Kochalka, James",1998,,,[0966536312],"Highwater Books (1998), Paperback",0,,"2006-08-23 08:34:37",1,
